Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
${var.conceptreferencerange.alp.alp-newborn-0-2-weeks.uuid},CIEL:785,ALP Newborn (0-2 weeks),0,50,80,250,350,,$patient.getAgeInWeeks() >= 0 && $patient.getAgeInWeeks() < 2
${var.conceptreferencerange.alp.alp-infants-2-weeks-12-months.uuid},CIEL:785,ALP Infants (2 weeks - 12 months),0,80,120,420,550,,$patient.getAgeInWeeks() >= 2 && $patient.getAgeInMonths() < 12
${var.conceptreferencerange.alp.alp-children-1-9-years.uuid},CIEL:785,ALP Children (1 - 9 years),0,100,150,420,550,,$patient.getAge() >= 1 && $patient.getAge() <= 9
${var.conceptreferencerange.alp.alp-adolescents-10-14-years-f.uuid},CIEL:785,ALP Adolescents (10 - 14 years) - F,0,120,150,500,650,,"$patient.getAge() >= 10 && $patient.getAge() <= 14 && $patient.getGender() == ""F"""
${var.conceptreferencerange.alp.alp-adolescents-10-18-years-m.uuid},CIEL:785,ALP Adolescents (10 - 18 years) - M,0,150,200,400,500,,"$patient.getAge() >= 10 && $patient.getAge() <= 18 && $patient.getGender() == ""M"""
${var.conceptreferencerange.alp.alp-late-adolescents-15-18-years-f.uuid},CIEL:785,ALP Late Adolescents (15 - 18 years) - F,0,80,120,350,450,,"$patient.getAge() >= 15 && $patient.getAge() <= 18 && $patient.getGender() == ""F"""
${var.conceptreferencerange.alp.alp-adult-men-18-years.uuid},CIEL:785,ALP Adult Men (>18 years),0,25,35,147,200,,"$patient.getAge() > 18 && $patient.getGender() == ""M"""
${var.conceptreferencerange.alp.alp-adult-non-pregnant-women-18-years.uuid},CIEL:785,"ALP Adult (Non-Pregnant Women, > 18 years)",0,25,35,147,200,,"$patient.getAge() > 18 && $patient.getGender() == ""F"" && !($fn.isObsValueCodedAnswer(""CIEL:45"", $patient, ""CIEL:703"") || $fn.isObsValueCodedAnswer(""CIEL:1945"", $patient, ""CIEL:703"") || $fn.isObsValueCodedAnswer(""CIEL:5272"", $patient, ""CIEL:1065""))"
${var.conceptreferencerange.alp.alp-pregnant-women.uuid},CIEL:785,ALP Pregnant Women,0,40,60,250,350,,"$patient.getGender() == ""F"" && (($fn.isObsValueCodedAnswer(""CIEL:45"", $patient, ""CIEL:703"") || $fn.isObsValueCodedAnswer(""CIEL:1945"", $patient, ""CIEL:703"") || $fn.isObsValueCodedAnswer(""CIEL:5272"", $patient, ""CIEL:1065"")))"
