Uuid,Void/Retire,Privilege name,Description
${var.privilege.view-audit-log.uuid},,View Audit Log,Read the audit log. Granted to the ICT Unit only per the MOH ICT SOPs.
${var.privilege.export-national-report.uuid},,Export National Report,Generate and export MOH national indicator reports
${var.privilege.manage-facility-sync.uuid},,Manage Facility Sync,Inspect and retry the facility-to-central sync queue
${var.privilege.register-maternal-program.uuid},,Register Maternal Program,"Enrol a patient in ANC, L&D, PNC or Family Planning"
