Uuid,Void/Retire,Name,Description,Required,Format,Format description,Validator,Location behavior,Uniqueness behavior
${var.patientidentifiertypes.openmrs-id.uuid},,OpenMRS ID,"OpenMRS patient identifier, with check-digit",TRUE,,,org.openmrs.module.idgen.validator.LuhnMod30IdentifierValidator,NOT_USED,UNIQUE
${var.patientidentifiertypes.legacy-id.uuid},,Legacy ID,Identifier type to record optional previous identifers ,FALSE,,,,NOT_USED,
${var.patientidentifiertypes.id-card.uuid},,ID Card,ID Card,FALSE,,,,NOT_USED,UNIQUE
${var.patientidentifiertypes.ssn.uuid},,SSN,Social Security Number,FALSE,^[A-Z]{1}-[0-9]{7}$,"Identifier must be exactly one uppercase letter, followed by a dash and exactly 7 digits. Example: A-0010902",,NOT_USED,UNIQUE
