Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001
${var.concept.ciel.1114.uuid},,CIEL:1114;AMPATH:1114;PIH:1335,Vital signs,Signes vitaux,Vital Signs,Signes vitaux,Convenience set. Listing of vital signs.,,ConvSet,N/A,,${var.concept.ciel.systolic-bp.uuid};${var.concept.ciel.diastolic-bp.uuid};${var.concept.ciel.temperature.uuid};${var.concept.ciel.height.uuid};${var.concept.ciel.weight.uuid};${var.concept.ciel.pulse.uuid};${var.concept.ciel.oxygen-saturation.uuid};${var.concept.ciel.muac.uuid};${var.concept.ciel.respiratory-rate.uuid};${var.concept.ciel.5283.uuid},,
${var.concept.national.tests-orderability.uuid},,,Tests Orderability,Tests Orderability,Possibilité de commande des tests,Possibilité de commande des tests,,,ConvSet,Coded,,"Urobilinogen;Lymphocytes (%) - microscopic exam;Neutrophils (%) - microscopic exam;Hepatitis C test - qualitative;Spore presence in urine test;Yeast hyphae presence in urine sediment by light microscopy test;Yeast presence in urine sediment by light microscopy;Leukocytes presence in urine sediment by light microscopy;Erythrocytes presence in urine sediment by light microscopy test;Combined % of monocytes, eosinophils and basophils;Renal function panel;Stool test;Stool fat test, semi-quantitative;Stool test for reducing substance;Kinyoun's stain for coccidians;Stool microscopy with concentration;Urine routine and microscopy;Sickling test only;Bacteriuria test, urine;Sickle cell screening test;Hepatitis B Surface Antigen Test;Fecal occult blood test;Complete blood count;Mean corpuscular hemoglobin;Mean cell hemoglobin concentration;Red cell distribution width;Hematocrit;Liver function tests;Serum glucose;Blood urea nitrogen;Mean corpuscular volume;Serum creatinine (umol/L);Alkaline phosphatase;Platelets;Total protein;Red blood cells;White blood cells;Total bilirubin;Serum glutamic-pyruvic transaminase;Serum glutamic-oxaloacetic transaminase;Stool exam;Haemoglobin;Urea measurement (calculated);Urine microscopy panel;Casts presence in urine sediment by light microscopy test;Crystals type in urine sediment by light microscopy test;Epithelial casts presence in urine sediment by light microscopy test;Trichomonas vaginalis presence in urine sediment by light microscopy",,
