Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type
${var.concept.national.3rd.uuid},,3rd,3rd,3rd,Misc,N/A,
${var.concept.national.4th.uuid},,4th+,4th+,4th+,Misc,N/A,
${var.concept.national.ipt-dose-administered.uuid},,IPT dose administered,IPT dose administered,IPT dose administered,Question,Coded,${var.concept.national.1st-ipt-dose.uuid};${var.concept.national.2nd-ipt-dose.uuid};${var.concept.national.3rd-ipt-dose.uuid}${var.concept.national.1st-ipt-dose.uuid},,1st IPT dose,1st IPT dose,1st IPT dose,Misc,N/A,
${var.concept.national.2nd-ipt-dose.uuid},,2nd IPT dose,2nd IPT dose,2nd IPT dose,Misc,N/A,
${var.concept.national.3rd-ipt-dose.uuid},,3rd IPT dose+,3rd IPT dose+,3rd IPT dose+,Misc,N/A,
${var.concept.national.woman-receiving-ipt.uuid},,Woman receiving IPT,Woman receiving IPT,Woman receiving IPT,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.llin-received-at-anc.uuid},,LLIN received at ANC,LLIN received at ANC,LLIN received at ANC,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.date-of-tt1.uuid},,Date of TT1,Date of TT1,Date of TT1,Question,Date,
${var.concept.national.date-of-tt2.uuid},,Date of TT2,Date of TT2,Date of TT2,Question,Date,
${var.concept.national.date-of-tt3.uuid},,Date of TT3,Date of TT3,Date of TT3,Question,Date,
${var.concept.national.date-of-tt4.uuid},,Date of TT4,Date of TT4,Date of TT4,Question,Date,
${var.concept.national.date-of-tt5.uuid},,Date of TT5,Date of TT5,Date of TT5,Question,Date,
${var.concept.national.spontaneous-vaginal-delivery-svd.uuid},,Spontaneous vaginal delivery (SVD),Spontaneous vaginal delivery (SVD),Spontaneous vaginal delivery (SVD),Misc,N/A,
${var.concept.national.cesarean-section.uuid},,Cesarean section,Cesarean section,Cesarean section,Misc,N/A,
${var.concept.national.by-midwifery.uuid},,By midwifery,By midwifery,By midwifery,Misc,N/A,
${var.concept.national.episiotomy-answer.uuid},,Episiotomy Answer,Episiotomy Answer,Episiotomy,Misc,N/A,
${var.concept.national.complete.uuid},,Complete,Complete,Complete,Misc,N/A,
${var.concept.national.incomplete.uuid},,Incomplete,Incomplete,Incomplete,Misc,N/A,
${var.concept.national.small-less-than-250-cc.uuid},,Small (Less than 250 cc),Small (Less than 250 cc),Small (Less than 250 cc),Misc,N/A,
${var.concept.national.1-minute.uuid},,1 Minute,1 Minute,1 Minute,Misc,N/A,
${var.concept.national.5-minutes.uuid},,5 Minutes,5 Minutes,5 Minutes,Misc,N/A,
${var.concept.national.10-minutes.uuid},,10 Minutes,10 Minutes,10 Minutes,Misc,N/A,
${var.concept.national.oxygen-saturation-spo2.uuid},,Oxygen saturation (SpO2),Oxygen saturation (SpO2),Oxygen saturation (SpO2),Question,Numeric,
${var.concept.national.fetal-heart-rate.uuid},,Fetal heart rate,Fetal heart rate,Fetal heart rate,Question,Numeric,
${var.concept.national.adequate-tetanus-diphtheria-td2-immunization.uuid},,Adequate tetanus-diphtheria (TD2+) immunization,Adequate tetanus-diphtheria (TD2+) immunization,Adequate tetanus-diphtheria (TD2+) immunization,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.delivery-method.uuid},,Delivery method,Delivery method,Delivery method,Question,Coded,${var.concept.national.spontaneous-vaginal-delivery-svd.uuid};${var.concept.national.cesarean-section.uuid}${var.concept.national.partogram.uuid},,Partogram,Partogram,Partogram,Question,Coded,${var.concept.national.by-midwifery.uuid}${var.concept.national.episiotomy.uuid},,Episiotomy,Episiotomy,Episiotomy,Question,Coded,${var.concept.national.episiotomy-answer.uuid}${var.concept.national.fistula.uuid},,Fistula,Fistula,Fistula,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.active-management.uuid},,Active Management,Active Management,Active Management,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.medication-administered-during-the-third-stage-of-labour.uuid},,Medication administered during the third stage of labour,Medication administered during the third stage of labour,Medication administered during the third stage of labour,Question,Text,
${var.concept.national.medication-time.uuid},,Medication time,Medication time,Medication time,Question,Time,
${var.concept.national.dose.uuid},,Dose,Dose,Dose,Question,Numeric,
${var.concept.national.placenta-status.uuid},,Placenta status,Placenta status,Placenta status,Question,Coded,${var.concept.national.complete.uuid};${var.concept.national.incomplete.uuid}${var.concept.national.blood-loss-amount.uuid},,Blood loss amount,Blood loss amount,Blood loss amount,Question,Coded,${var.concept.national.small-less-than-250-cc.uuid}${var.concept.national.length.uuid},,Length,Length,Length,Question,Numeric,
${var.concept.national.sex.uuid},,Sex,Sex,Sex,Question,Coded,1534AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1535AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
${var.concept.national.assessment-time.uuid},,Assessment Time,Assessment Time,Assessment Time,Question,Coded,${var.concept.national.1-minute.uuid};${var.concept.national.5-minutes.uuid};${var.concept.national.10-minutes.uuid}${var.concept.national.colour-appearance.uuid},,Colour (Appearance),Colour (Appearance),Colour (Appearance),Question,Numeric,
${var.concept.national.heart-rate-pulse.uuid},,Heart rate (Pulse),Heart rate (Pulse),Heart rate (Pulse),Question,Numeric,
${var.concept.national.muscle-tone-activity.uuid},,Muscle tone (Activity),Muscle tone (Activity),Muscle tone (Activity),Question,Numeric,
${var.concept.national.reflex-irritability-grimace.uuid},,Reflex irritability (Grimace),Reflex irritability (Grimace),Reflex irritability (Grimace),Question,Numeric,
${var.concept.national.respiration-breathing.uuid},,Respiration (Breathing),Respiration (Breathing),Respiration (Breathing),Question,Numeric,
${var.concept.national.total-apgar-score.uuid},,Total APGAR score,Total APGAR score,Total APGAR score,Question,Numeric,
${var.concept.national.time-at-which-the-baby-was-delivered.uuid},,Time at which the baby was delivered,Time at which the baby was delivered,Time at which the baby was delivered,Question,Time,
${var.concept.national.parity.uuid},,Parity,Parity,Parity,Question,Numeric,
${var.concept.national.ppc-1-received-within-24hrs.uuid},,PPC 1: Received within 24hrs,PPC 1: Received within 24hrs,PPC 1: Received within 24hrs,Misc,N/A,
${var.concept.national.health-facility.uuid},,Health facility,Health facility,Health facility,Misc,N/A,
${var.concept.national.before-24hrs.uuid},,Before 24hrs,Before 24hrs,Before 24hrs,Misc,N/A,
${var.concept.national.after-24hrs.uuid},,After 24hrs,After 24hrs,After 24hrs,Misc,N/A,
${var.concept.national.post-partum-care.uuid},,Post-partum care,Post-partum care,Post-partum care,Question,Coded,${var.concept.national.ppc-1-received-within-24hrs.uuid}${var.concept.national.place-of-delivery.uuid},,Place of Delivery,Place of Delivery,Place of Delivery,Question,Coded,${var.concept.national.health-facility.uuid}${var.concept.national.complications-identified-and-managed.uuid},,Complications Identified and Managed,Complications Identified and Managed,Complications Identified and Managed,Question,Text,
${var.concept.national.referral-complication.uuid},,Referral Complication,Referral Complication,Referral Complication,Question,Text,
${var.concept.national.hiv-test-results-at-initial-pnc-visit.uuid},,HIV Test Results at initial PNC visit,HIV Test Results at initial PNC visit,HIV Test Results at initial PNC visit,Question,Coded,1304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
${var.concept.national.hiv-test-results-at-6-weeks.uuid},,HIV Test Results at 6 weeks,HIV Test Results at 6 weeks,HIV Test Results at 6 weeks,Question,Coded,1304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
${var.concept.national.preventive-interventions-provided-during-the-post-partum-period.uuid},,Preventive interventions provided during the post-partum period,Preventive interventions provided during the post-partum period,Preventive interventions provided during the post-partum period,Question,Text,
