Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
${var.concept.national.item-fcac77cf.uuid},,,Medroxyprogesterone Acetate,Acétate de médroxyprogestérone,Drug,N/A,,,
${var.concept.national.item-6533b40f.uuid},,,Medroxyprojesterone acetate,Medroxyprojesterone acetate,Drug,N/A,,,
${var.concept.national.item-89ed13af.uuid},,,Meperidine,Mépéridine,Drug,N/A,,,
${var.concept.national.item-095d1d67.uuid},,,Methimazole,Méthimazole,Drug,N/A,,,
${var.concept.national.item-017dcf18.uuid},,,Methotrexate,Méthotrexate,Drug,N/A,,,
${var.concept.national.item-2abaf024.uuid},,,Methyldopa,Méthyldopa,Drug,N/A,,,
${var.concept.national.item-79ae8e90.uuid},,,Methylergometrine,Méthylergométrine,Drug,N/A,,,
${var.concept.national.item-fb23af41.uuid},,,Methylprednisolone,Méthylprednisolone,Drug,N/A,,,
${var.concept.national.item-fa2a3b41.uuid},,,Metoclopramide,Métoclopramide,Drug,N/A,,,
${var.concept.national.item-7dc18dde.uuid},,,Metoprolol,Metoprolol,Drug,N/A,,,
${var.concept.national.item-8d8f4ed5.uuid},,,Metoprolol tartrate,Métoprolol tartrate,Drug,N/A,,,
${var.concept.national.item-c929e588.uuid},,,Metronidazole & Diloxanide,Métronidazole et diloxanide,Drug,N/A,,,
${var.concept.national.item-f9608d19.uuid},,,Metronidazole and Nystatin,Metronidazole et Nystatin,Drug,N/A,,,
${var.concept.national.item-75fd74ef.uuid},,,"Metronidazole, Chlorhexidine, Lignocaine & Menthol","Métronidazole, chlorhéxidine, lignocaïne et menthol",Drug,N/A,,,
${var.concept.national.item-965b643b.uuid},,,Miconazole,Miconazole,Drug,N/A,,,
${var.concept.ciel.79853.uuid},,,Midazolam,Midazolam,Drug,N/A,,,
${var.concept.national.item-62000346.uuid},,,Mifepristone & Misoprostol,Mifepristone et misoprostol,Drug,N/A,,,
${var.concept.national.item-75523cab.uuid},,,Miltefosine,Miltefosine,Drug,N/A,,,
${var.concept.national.item-73bbac06.uuid},,,Mineral oil,Huile minérale,Drug,N/A,,,
${var.concept.national.item-42bd60df.uuid},,,Minocycline,Minocycline,Drug,N/A,,,
${var.concept.national.item-30754108.uuid},,,Mirtazapine,Mirtazapine,Drug,N/A,,,
${var.concept.national.item-eb3c251d.uuid},,,Misoprostol,Misoprostol,Drug,N/A,,,
${var.concept.national.item-b5a7051e.uuid},,,Moderna Covid 19 Vaccine,Moderna Covid 19 Vaccine,Drug,N/A,,,
${var.concept.national.item-9cf2bb23.uuid},,,MTV & Fer gttes (pr neonato),MTV & Fer gttes (pr neonato),Drug,N/A,,,
${var.concept.national.item-e770a760.uuid},,,Multi-Vitamin Adult,Multi-vitamines adulte,Drug,N/A,,,
${var.concept.national.item-8a52cbaf.uuid},,,Multi-Vitamin Children,Multi-vitamines enfants,Drug,N/A,,,
${var.concept.national.item-564a7a84.uuid},,,Multi-Vitamin Prenatal,Multi-vitamines prénatal,Drug,N/A,,,
${var.concept.national.item-6ccf5902.uuid},,,Multivitamin,Multivitamin,Drug,N/A,,,
${var.concept.national.item-bcf73538.uuid},,,Multivitamin & Iron,Multivitamines et fer,Drug,N/A,,,
${var.concept.national.item-82cc193d.uuid},,,Multivitamin & Lysine,Multivitamin & Lysine,Drug,N/A,,,
${var.concept.national.item-77a46432.uuid},,,Naloxone,Naloxone,Drug,N/A,,,
${var.concept.national.item-dee29eca.uuid},,,Neomycin,Neomycine,Drug,N/A,,,
${var.concept.national.item-dd850b07.uuid},,,Neomycin & Bacitracin,Néomycine & Bacitracine,Drug,N/A,,,
${var.concept.national.item-a1b11bd9.uuid},,,Neomycin & Polymyxin B & Bacitracin Zinc,"Néomycine, polymyxine B et bacitracine-zinc",Drug,N/A,,,
${var.concept.national.item-86852158.uuid},,,Neostigmine,Neostigmine,Drug,N/A,,,
${var.concept.national.item-1bcc8df8.uuid},,,Nevirapine (NVP),Névirapine (NVP),Drug,N/A,,,
${var.concept.national.item-428df146.uuid},,,Nicardipine,Nicardipine,Drug,N/A,,,
${var.concept.national.item-0d935b47.uuid},,,Nifedepine SR,Nifédépine SR,Drug,N/A,,,
${var.concept.national.item-251a17f9.uuid},,,Nifedipine,Nifédipine,Drug,N/A,,,
${var.concept.national.item-e678879b.uuid},,,Nimesulide,Nimesulide,Drug,N/A,,,
${var.concept.national.item-64d72b1f.uuid},,,Nitrofurantoin,Nitrofurantoïne,Drug,N/A,,,
${var.concept.national.item-2f427b27.uuid},,,"Nitrofurasone, Neomycin, Dexamethasone (Otofuran®)","Nitrofurasone, Neomycin, Dexamethasone (Otofuran®)",Drug,N/A,,,
${var.concept.national.item-4b0d1e15.uuid},,,Nitroglycerin,Nitroglycérine,Drug,N/A,,,
${var.concept.national.item-b78b18d6.uuid},,,Nitroglycerin (Glycerine Trinitrate),Nitroglycérine (Glycerine Trinitrate),Drug,N/A,,,
${var.concept.national.item-3009dd8b.uuid},,,Nitroprussiate,Nitroprussiate,Drug,N/A,,,
${var.concept.national.item-70298171.uuid},,,Noradrenaline,Noradrénaline,Drug,N/A,,,
${var.concept.national.item-cc4a27b0.uuid},,,Normal Saline (NS),Solution physiologique salée (NS),Drug,N/A,,,
${var.concept.national.item-984a9a0b.uuid},,,Nystatin,Nystatine,Drug,N/A,,,
${var.concept.national.item-a30dc1f2.uuid},,,Nystatin & Zinc Oxide,Nystatine et oxyde de zinc,Drug,N/A,,,
${var.concept.national.item-6ff87358.uuid},,,Ondansetron hydrochloride,Hydrochlorure d'ondansetron,Drug,N/A,,,
${var.concept.national.item-3bb1e50f.uuid},,,Ofloxacin,Ofloxacine,Drug,N/A,,,
${var.concept.national.item-df3f7c1f.uuid},,,Omeprazole,Omeprazole,Drug,N/A,,,
${var.concept.national.item-4f4a63d6.uuid},,,Oral Hormonal Contraceptive Pills,Contraceptifs hormonaux oraux,Drug,N/A,,,
${var.concept.national.item-556d6907.uuid},,,Oral polio vaccine (OPV),Vaccin polio oral (VPO),Drug,N/A,,,
${var.concept.national.item-98764756.uuid},,,Oral Rehydration Solution (ORS),Solution de réhydratation orale (ORS),Drug,N/A,,,
${var.concept.national.item-28001e9e.uuid},,,Oral rehydration therapy,Thérapie de rehydration orale,Drug,N/A,,,
${var.concept.national.item-3fc18bdb.uuid},,,Orthopedic device,Appareil orthopédique,Drug,N/A,,,
${var.concept.national.item-e16636a1.uuid},,,Oxymetazoline,Oxymétazoline,Drug,N/A,,,
${var.concept.national.item-2a301cf3.uuid},,,Oxytocin,Ocytocine,Drug,N/A,,,
${var.concept.national.item-2ba5c05a.uuid},,,P Dextrose And Electrolyte Solution,Solution de dextrose P et electrolytes,Drug,N/A,,,
${var.concept.national.item-b3ed709f.uuid},,,Pantoprazole,Pantoprazole,Drug,N/A,,,
${var.concept.national.item-9881091b.uuid},,,Paracetamol,Paracétamol,Drug,N/A,,,
${var.concept.national.item-03fd8509.uuid},,,Paracetamol & Chlorzoxasone,Paracetamol & Chlorzoxasone,Drug,N/A,,,
${var.concept.national.item-2f24dfb3.uuid},,,Paracetamol & Codeine Phosphate,Paracétamol et phosphate de codeine,Drug,N/A,,,
${var.concept.national.item-8686e582.uuid},,,Paracetamol Paediatric,Paracétamol pédiatrique,Drug,N/A,,,
${var.concept.national.item-214ebdfb.uuid},,,Paradichloro Benzene,Paradichlorobenzene,Drug,N/A,,,
${var.concept.national.item-9d7acd58.uuid},,,"Paradichlorobenzene, Benzocaine, Chlorbutol & Turpentine Oil","Paradichlorobenzene, benzocaine, chlorbutol et huile de térébenthine",Drug,N/A,,,
${var.concept.national.item-8f63ffb3.uuid},,,Parenteral nutrition (peripheral at least),Nutrition parentérale (périphérique au moins),Drug,N/A,,,
${var.concept.national.item-85be45f9.uuid},,,"Peanut, Sugar, Vegetable oil, Milk, Vitamins, minerals","Peanut, Sugar, Vegetable oil, Milk, Vitamins, minerals",Drug,N/A,,,
${var.concept.national.item-613c8c54.uuid},,,Pentavalent Vaccine (Penta),Pentavalent Vaccine (Penta),Drug,N/A,,,
${var.concept.national.item-d644e9bd.uuid},,,Pentoxifylline,Pentoxifylline,Drug,N/A,,,
${var.concept.national.item-5b1d3ede.uuid},,,Permanganate potassium,Permanganate de potassium,Drug,N/A,,,
${var.concept.national.item-6315c226.uuid},,,Permethrin,Perméthrine,Drug,N/A,,,
${var.concept.national.item-6985c680.uuid},,,Petrolatum,Pétrolatum,Drug,N/A,,,
${var.concept.national.item-677d828f.uuid},,,Petroleum,Pétrole,Drug,N/A,,,
${var.concept.national.item-0158e0b1.uuid},,,Pfizer-BioNTech Covid 19 Vaccine,Pfizer-BioNTech Covid 19 Vaccine,Drug,N/A,,,
${var.concept.national.item-ec1d2aab.uuid},,,Pheniramine,Phéniramine,Drug,N/A,,,
${var.concept.national.item-a83d9a71.uuid},,,Pheniramine Maleate,Maléate de pheniramine,Drug,N/A,,,
${var.concept.ciel.81951.uuid},,,Phenobarbital,Phénobarbital,Drug,N/A,,,
${var.concept.national.item-172ca645.uuid},,,Phenobarbitone,Phenobarbitone,Drug,N/A,,,
${var.concept.national.item-8d6744e1.uuid},,,Phenylephrine,Phenylephrine,Drug,N/A,,,
${var.concept.national.item-f3ea42fb.uuid},,,Phenylephrine & pramoxine,Phenylephrine & pramoxine,Drug,N/A,,,
${var.concept.ciel.82023.uuid},,,Phenytoin,Phénytoïne,Drug,N/A,,,
${var.concept.national.item-f2bbf84c.uuid},,,Phytomenadione (Vit K),Phytomenadione (Vit K),Drug,N/A,,,
${var.concept.national.item-818ef5bc.uuid},,,Pilex,Pilex,Drug,N/A,,,
${var.concept.national.item-975c29db.uuid},,,Pilocarpine,Pilocarpine,Drug,N/A,,,
${var.concept.national.item-01e09697.uuid},,,Pioglitazone,Pioglitazone,Drug,N/A,,,
${var.concept.national.item-c1c2676e.uuid},,,Pneumococcal Vaccine (PCV13),Vaccin pneumocoque (PCV13),Drug,N/A,,,
${var.concept.national.item-792871a0.uuid},,,Podophillin,Podophylline,Drug,N/A,,,
${var.concept.national.item-e981d07a.uuid},,,Polio Vaccine-Inactivated Vaccine (IPV),Vaccin antipoliomyélitique inactivé (VPI),Drug,N/A,,,
${var.concept.national.item-5a26faba.uuid},,,Polyethylene Glycol,Polyéthylene glycol,Drug,N/A,,,
${var.concept.national.item-bcd42942.uuid},,,Polyvalent Anti Snake Serum,Antivenin de serpent polyvalent,Drug,N/A,,,
${var.concept.national.item-a5547d6c.uuid},,,Potassium Chloride,Chlorure de potassium,Drug,N/A,,,
${var.concept.national.item-f7ae1d83.uuid},,,Povidone iodine,Povidone iodine,Drug,N/A,,,
${var.concept.national.item-159bc783.uuid},,,Prednisolone,Prednisolone,Drug,N/A,,,
${var.concept.national.item-8d27dba5.uuid},,,Prednisone,Prednisone,Drug,N/A,,,
${var.concept.national.item-2e873fde.uuid},,,Primaquine,Primaquine,Drug,N/A,,,
${var.concept.national.item-bb9c9e33.uuid},,,Primoquine,Primoquine,Drug,N/A,,,
${var.concept.national.item-5ec1c55d.uuid},,,Prochlorperazine Maleate,Maléate de prochlorperazine,Drug,N/A,,,
${var.concept.national.item-983d2877.uuid},,,Promethazine,Promethazine,Drug,N/A,,,
${var.concept.national.item-5dd2c915.uuid},,,Promethazine Hydrochloride (HCl),Hydrochlorure de promethazine (HCl),Drug,N/A,,,
${var.concept.national.item-c5e3d595.uuid},,,Propacaine,Propacaine,Drug,N/A,,,
${var.concept.national.item-1fe88165.uuid},,,Propafenone,Propafénone,Drug,N/A,,,
${var.concept.ciel.82726.uuid},,,Propofol,Propofol,Drug,N/A,,,
${var.concept.national.item-40e6108c.uuid},,,Propranolol,Propranolol,Drug,N/A,,,
${var.concept.national.item-8540ed16.uuid},,,Propranolol hydrochloride,Hydrochlorure de propranolol,Drug,N/A,,,
${var.concept.national.item-5f373a4f.uuid},,,Propylthiouracil,Propylthiouracile,Drug,N/A,,,
${var.concept.national.item-5b2fd057.uuid},,,Protamine,Protamine,Drug,N/A,,,
${var.concept.national.item-3ea17ac3.uuid},,,Protamine sulfate,Sulfate de protamine,Drug,N/A,,,
${var.concept.national.item-d58883a6.uuid},,,Proteines,Protéines,Drug,N/A,,,
${var.concept.national.item-5fd156c3.uuid},,,Pyrazinamide,Pyrazinamide,Drug,N/A,,,
${var.concept.national.item-14f9dc07.uuid},,,Pyridoxine,Pyridoxine,Drug,N/A,,,
${var.concept.national.item-35191c44.uuid},,,Pyrimethamine Sulfadoxine,Pyrimethamine et sulfadoxine,Drug,N/A,,,
${var.concept.national.item-36d8bcf5.uuid},,,Quinine sulfate,Sulfate de quinine,Drug,N/A,,,
${var.concept.national.item-a0660319.uuid},,,Rabeprazole Sodium,Rabéprazole sodique,Drug,N/A,,,
${var.concept.national.item-7055f997.uuid},,,Rabies immunoglobulins,Immunoglobulines antirabiques,Drug,N/A,,,
${var.concept.national.item-4c187e9c.uuid},,,Ranitidine,Ranitidine,Drug,N/A,,,
${var.concept.national.item-c5032f5b.uuid},,,Ready-to-Use Supplementary Foods,Aliments Suplementaires Prets a l'emploi (ASPE),Drug,N/A,,,
${var.concept.national.item-38dcc101.uuid},,,Rifampicin,Rifampicine,Drug,N/A,,,
${var.concept.national.item-ab684df6.uuid},,,Rifampicin & Isoniazid & Pyrazinamide,Rifampicine & Isoniazide & Pyrazinamide,Drug,N/A,,,
${var.concept.national.item-a75e7808.uuid},,,Rifampicin & Isoniazid & Ethambutol,Rifampicine & Isoniazide & Ethambutol,Drug,N/A,,,
${var.concept.national.item-606f9339.uuid},,,"Rifampicine, Isoniazide","Rifampicine, Isoniazide",Drug,N/A,,,
${var.concept.national.item-c103ec05.uuid},,,"Rifampicine, Isoniazide, Ethambutol, pyrazinamide","Rifampicine, Isoniazide, Ethambutol, pyrazinamide",Drug,N/A,,,
${var.concept.national.item-b368b7f7.uuid},,,Ringers Lactate (RL),Ringers lactate (RL),Drug,N/A,,,
${var.concept.national.item-b85c29f2.uuid},,,Risperidone,Risperidone,Drug,N/A,,,
${var.concept.national.item-f296897c.uuid},,,Rocuronium,Rocuronium,Drug,N/A,,,
${var.concept.national.item-7dc377e9.uuid},,,Rotavirus Vaccine (Rota),Vaccin rotavirus (Rota),Drug,N/A,,,
${var.concept.national.item-9088359a.uuid},,,Salbutamol,Salbutamol,Drug,N/A,,,
${var.concept.national.item-1dd509c8.uuid},,,Salbutamol & Bromhexine,Salbutamol et bromhexine,Drug,N/A,,,
${var.concept.national.item-e1b3ec78.uuid},,,Salbutamol & Ipratropium bromide,Salbutamol & bromure de Ipratropium,Drug,N/A,,,
${var.concept.national.item-702e6e2b.uuid},,,Saline,Saline,Drug,N/A,,,
${var.concept.national.item-f7977809.uuid},,,Saline flush,Saline flush,Drug,N/A,,,
${var.concept.national.item-e0e07cd2.uuid},,,Senna,Séné,Drug,N/A,,,
${var.concept.national.item-facb9b18.uuid},,,Serum antitetatique,Serum antitetatique,Drug,N/A,,,
${var.concept.national.item-0aa49771.uuid},,,Sevoflurane,Sevoflurane,Drug,N/A,,,
${var.concept.national.item-3ab0a0ea.uuid},,,Sildenafil,Sildénafil,Drug,N/A,,,
${var.concept.national.item-984e4058.uuid},,,Silver Nitrate,Silver Nitrate,Drug,N/A,,,
${var.concept.national.item-89e4c545.uuid},,,Silver sulfadiazine,Sulfadiazine argentique,Drug,N/A,,,
${var.concept.national.item-26eafc63.uuid},,,Silver Sulphadiazine,Sulphadiazine argentique,Drug,N/A,,,
${var.concept.national.item-3fc5c46f.uuid},,,Simethicone,Siméthicone,Drug,N/A,,,
${var.concept.national.item-3cba8193.uuid},,,Simvastatin,Simvastatine,Drug,N/A,,,
${var.concept.national.item-800bb234.uuid},,,Sodium bicarbonate,Bicarbonate de soude,Drug,N/A,,,
${var.concept.national.item-8ebe6adf.uuid},,,Sodium chloride,Chlorure de sodium,Drug,N/A,,,
${var.concept.national.item-4bfe538d.uuid},,,Sodium hyaluronate,Hyaluronate de sodium,Drug,N/A,,,
${var.concept.national.item-e5a0d185.uuid},,,Sodium hyaluronate & Oxymetazoline,Hyaluronate de sodium & Oxymetazoline,Drug,N/A,,,
${var.concept.national.item-ecff0e05.uuid},,,Sodium phosphate (Fleet's),Phosphate de sodium (Fleet's),Drug,N/A,,,
${var.concept.national.item-c5d5c9ba.uuid},,,Sodium Valproate,Valproate sodique,Drug,N/A,,,
${var.concept.national.item-136d7f67.uuid},,,Someticone,Someticone,Drug,N/A,,,
${var.concept.national.item-0f57f6ea.uuid},,,Sorbitol,Sorbitol,Drug,N/A,,,
${var.concept.national.item-d4c72168.uuid},,,Spironolactone,Spironolactone,Drug,N/A,,,
${var.concept.national.item-2a1522a5.uuid},,,Sprironolactone,Sprironolactone,Drug,N/A,,,
${var.concept.national.item-fb7fc6f2.uuid},,,Streptokinase,Streptokinase,Drug,N/A,,,
${var.concept.national.item-f05a49a3.uuid},,,Streptomycin,Streptomycine,Drug,N/A,,,
${var.concept.national.item-20cd9b9c.uuid},,,Succinylcholine,Succinylcholine,Drug,N/A,,,
${var.concept.national.item-516e7c1e.uuid},,,Sulfacetamide,Sulfacetamide,Drug,N/A,,,
${var.concept.national.item-becdbefb.uuid},,,Sulfamethoxazole & Trimethoprim,Sulfaméthoxazole et triméthoprime,Drug,N/A,,,
${var.concept.national.item-c02185e2.uuid},,,Tamoxifen,Tamoxifène,Drug,N/A,,,
${var.concept.national.item-dc93032f.uuid},,,Tenofovir,Ténofovir,Drug,N/A,,,
${var.concept.national.item-1e10d8c9.uuid},,,Tenormin,Tenormin,Drug,N/A,,,
${var.concept.national.item-7d576a6f.uuid},,,Tetanus Antitoxin,Antitoxine tétanique,Drug,N/A,,,
${var.concept.national.item-f97877a1.uuid},,,Tetanus Immunoglobulin,Immunoglobuline tétanique,Drug,N/A,,,
${var.concept.national.item-98b66058.uuid},,,Tetracycline Ophtalmic,Tétracycline opthalmique,Drug,N/A,,,
${var.concept.national.item-17faad0f.uuid},,,Tetrahydrozoline,Tétrahydrozoline,Drug,N/A,,,
${var.concept.national.item-1f70df91.uuid},,,Thiopental,Thiopental,Drug,N/A,,,
${var.concept.national.item-23df848e.uuid},,,Timolol,Timolol,Drug,N/A,,,
${var.concept.national.item-49abc01a.uuid},,,Tinidazole,Tinidazole,Drug,N/A,,,
${var.concept.national.item-6ad5a53a.uuid},,,Tiotropium,Tiotropium,Drug,N/A,,,
${var.concept.national.item-33bf57ae.uuid},,,Tiotropium powder,Poudre de tiotropium,Drug,N/A,,,
${var.concept.national.item-5d750d5c.uuid},,,Tizanidine,Tizanidine,Drug,N/A,,,
${var.concept.national.item-d22ab275.uuid},,,Tobramycin,Tobramycine,Drug,N/A,,,
${var.concept.national.item-587a6e6e.uuid},,,Tobramycin & Dexamethasone,Trobramycine & Dexaméthasone,Drug,N/A,,,
${var.concept.national.item-a52f6561.uuid},,,Tocopherol,Tocophérol,Drug,N/A,,,
${var.concept.national.item-af2ea7b7.uuid},,,Tolnoftate,Tolnoftate,Drug,N/A,,,
${var.concept.ciel.85275.uuid},,,Tramadol,Tramadol,Drug,N/A,,,
${var.concept.national.item-fefa8262.uuid},,,Tramadol & Acetaminophen,Tramadol et acétaminophen,Drug,N/A,,,
${var.concept.ciel.85286.uuid},,,Tranexamic Acid,Acide tranéxamique,Drug,N/A,,,
${var.concept.national.item-89c0742a.uuid},,,Triamcinolone,Triamcinolone,Drug,N/A,,,
${var.concept.national.item-ace96e9a.uuid},,,Trihexyphenidyl,Trihexyphénidyl,Drug,N/A,,,
${var.concept.national.item-e28a653a.uuid},,,Triple antibiotic,Antibiotique triple,Drug,N/A,,,
${var.concept.national.item-6f53a9b8.uuid},,,Trobramycin,Trobramycine,Drug,N/A,,,
${var.concept.national.item-2e5adbd4.uuid},,,Trypsin Chymotrypsin,Trypsine et chymotrysine,Drug,N/A,,,
${var.concept.national.item-0a3353a4.uuid},,,Tuberculin Purified Protein Derivative (PPD),Tuberculine (PPD),Drug,N/A,,,
${var.concept.national.item-0f5a1ae5.uuid},,,Valacyclovir,Valacyclovir,Drug,N/A,,,
${var.concept.ciel.86052.uuid},,,Valproic Acid,Acide valproïque,Drug,N/A,,,
${var.concept.national.item-41f47998.uuid},,,Vancomycin,Vancomycine,Drug,N/A,,,
${var.concept.national.item-fb9b6f7f.uuid},,,Vasopressin,Vasopressine,Drug,N/A,,,
${var.concept.national.item-1b5edd5a.uuid},,,Vecuronium,Vecuronium,Drug,N/A,,,
${var.concept.national.item-040cf656.uuid},,,Verapamil,Vérapamil,Drug,N/A,,,
${var.concept.national.item-836b7f4c.uuid},,,Vitamin B Complex,Complexe de vitamines B,Drug,N/A,,,
${var.concept.national.item-b7bab21f.uuid},,,Vitamin C,Vitamine C,Drug,N/A,,,
${var.concept.national.item-62f323dd.uuid},,,Vitamin K,Vitamine K,Drug,N/A,,,
${var.concept.national.item-f2300d2e.uuid},,,Vitamins A and D,Vitamines A et D,Drug,N/A,,,
${var.concept.national.item-eac72f49.uuid},,,Voltaren,Voltarène,Drug,N/A,,,
${var.concept.national.item-5e97fe35.uuid},,,Warfarin,Warfarine,Drug,N/A,,,
${var.concept.national.item-e14ca630.uuid},,,Zidovudine (AZT),Zidovudine (AZT),Drug,N/A,,,
${var.concept.national.item-72e3dc8b.uuid},,,Zidovudine & Lamivudine (AZT/3TC),Zidovudine & Lamivudine (AZT/3TC),Drug,N/A,,,
${var.concept.national.item-32369173.uuid},,,Zidovudine & Lamivudine & Nevirapine (AZT/3TC/NVP),Zidovudine & Lamivudine & Nevirapine (AZT/3TC/NVP),Drug,N/A,,,
${var.concept.national.item-a7587ce7.uuid},,,Zinc,Zinc,Drug,N/A,,,
${var.concept.national.item-e3d3ea1c.uuid},,,Zinc Sulphate,Sulphate de zinc,Drug,N/A,,,
${var.concept.national.item-7f27a5d2.uuid},,,Albendazole and Vitamin A Set,Albendazole en Vitamine A Set,MedSet,N/A,Albendazole;Vitamin A,,
