Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
${var.concept.national.item-aee293c2.uuid},,,Benzyl penicillin Procaine,Benzyl pénicilline procaine,Drug,N/A,,,
${var.concept.national.item-a7ce5d88.uuid},,,Betamethasone,Bétamethasone,Drug,N/A,,,
${var.concept.national.item-b39042a0.uuid},,,Betaxolol,Bétaxolol,Drug,N/A,,,
${var.concept.national.item-51aba50f.uuid},,,Biperidene lactate,Lactate de bipéridène,Drug,N/A,,,
${var.concept.national.item-93c9e6d7.uuid},,,Bisacodyl,Bisacodyl,Drug,N/A,,,
${var.concept.national.item-a546446e.uuid},,,Boric acid & Antipyrine & Ephedrine,Acide borique & Antipyrine & Ephedrine,Drug,N/A,,,
${var.concept.national.item-04c434fc.uuid},,,Brimonidine & timolol,Brimonidine & timolol,Drug,N/A,,,
${var.concept.national.item-3ea490ec.uuid},,,Brimonidine tartrate,Tartrate de brimonidine,Drug,N/A,,,
${var.concept.national.item-7736310e.uuid},,,Bromhexine,Bromhexine,Drug,N/A,,,
${var.concept.national.item-7e31f224.uuid},,,Budesonide,Budésonide,Drug,N/A,,,
${var.concept.national.item-04cda318.uuid},,,Budesonide & Formoterol,Budésonide et formotérol,Drug,N/A,,,
${var.concept.ciel.72505.uuid},,,Bupivacaine,Bupivacaïne,Drug,N/A,,,
${var.concept.national.item-208b5be3.uuid},,,Bupivacaine Hydrochloride,Chlorhydrate de bupivacaïne,Drug,N/A,,,
${var.concept.national.item-bc09e8b4.uuid},,,Bupivacaine spinal heavy,Bupivacaine spinal heavy,Drug,N/A,,,
${var.concept.national.item-bb2afe54.uuid},,,Caffeine Citrate,Citrate de caféine,Drug,N/A,,,
${var.concept.national.item-d08ec8fe.uuid},,,Calamine,Calamine,Drug,N/A,,,
${var.concept.national.item-0a1d2888.uuid},,,Calcium,,Drug,N/A,,,
${var.concept.national.item-c731f7a1.uuid},,,Calcium & vit,Calcium & vit,Drug,N/A,,,
${var.concept.national.item-f381801c.uuid},,,Calcium Carbonate,Carbonate de calcium,Drug,N/A,,,
${var.concept.national.item-409beedf.uuid},,,Calcium chloride,Chlorure de calcium,Drug,N/A,,,
${var.concept.ciel.72678.uuid},,,Calcium Gluconate,Gluconate de calcium,Drug,N/A,,,
${var.concept.national.item-f5e348b5.uuid},,,Captopril,Captopril,Drug,N/A,,,
${var.concept.national.item-aa367bfd.uuid},,,Carbamazine,Carbamazine,Drug,N/A,,,
${var.concept.national.item-ba3cd2c4.uuid},,,Carvedilol,Carvédilol,Drug,N/A,,,
${var.concept.national.item-73e70d41.uuid},,,Cefaclor,Céfaclor,Drug,N/A,,,
${var.concept.national.item-d4844d6b.uuid},,,Cefadroxil,Céfadroxil,Drug,N/A,,,
${var.concept.national.item-1605530b.uuid},,,Cefalexin,Céfalexine,Drug,N/A,,,
${var.concept.national.item-d7301792.uuid},,,Cefazolin,Céfazoline,Drug,N/A,,,
${var.concept.national.item-4907047b.uuid},,,Cefepime,Céfépime,Drug,N/A,,,
${var.concept.national.item-4316906b.uuid},,,Cefixime,Céfixime,Drug,N/A,,,
${var.concept.national.item-a93ad5bd.uuid},,,Cefotaxime,Céfotaxime,Drug,N/A,,,
${var.concept.national.item-38d061a2.uuid},,,Ceftazidime,Ceftazidime,Drug,N/A,,,
${var.concept.national.item-3c1e94bf.uuid},,,Cefuroxime,Céfuroxime,Drug,N/A,,,
${var.concept.national.item-72c81a79.uuid},,,Celecoxib,Célécoxib,Drug,N/A,,,
${var.concept.national.item-dfeb53e9.uuid},,,Cetirizine,Cetirizine,Drug,N/A,,,
${var.concept.national.item-2d0057fc.uuid},,,Chlordiazepoxide,Chlordiazépoxide,Drug,N/A,,,
${var.concept.national.item-66010c7d.uuid},,,Chlorhexidine,Chlorhexidine,Drug,N/A,,,
${var.concept.national.item-e6787b61.uuid},,,Chlorhexidine Gluconate,Gluconate de chlorhexidine,Drug,N/A,,,
${var.concept.national.item-b48e38a8.uuid},,,Chloroquine,Chloroquine,Drug,N/A,,,
${var.concept.national.item-7c929bab.uuid},,,Chloroquine phosphate,Phosphate de chloroquine,Drug,N/A,,,
${var.concept.national.item-b46265ad.uuid},,,Chlorpheniramine,Chlorphéniramine,Drug,N/A,,,
${var.concept.national.item-b50c9258.uuid},,,Chlorpromazine,Chlorpromazine,Drug,N/A,,,
${var.concept.ciel.73449.uuid},,,Ciprofloxacin,Ciprofloxacine,Drug,N/A,,,
${var.concept.national.item-a67db321.uuid},,,Cisatracurium,Cisatracurium,Drug,N/A,,,
${var.concept.national.item-a4391c57.uuid},,,Clarithromycine,Clarithromycine,Drug,N/A,,,
${var.concept.national.item-be063ef1.uuid},,,Clindamycin,Clindamycine,Drug,N/A,,,
${var.concept.national.item-0797df4b.uuid},,,Clobazam,Clobazam,Drug,N/A,,,
${var.concept.national.item-3bb38c6e.uuid},,,Clobetasol Propionate,Propionate de clobétasol,Drug,N/A,,,
${var.concept.national.item-f4392a22.uuid},,,Clomifen citrate,Clomifen citrate,Drug,N/A,,,
${var.concept.national.item-3ecf1ff7.uuid},,,Clonazepam,Clonazepam,Drug,N/A,,,
${var.concept.national.item-cb8afacc.uuid},,,Clopidogrel,Clopidogrel,Drug,N/A,,,
${var.concept.national.item-895ae798.uuid},,,Clotrimazole,Clotrimazole,Drug,N/A,,,
${var.concept.national.item-1a785710.uuid},,,Clotrimazole & Lignocaine,Clotrimazole et lignocaïne,Drug,N/A,,,
