Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:es,Short name:en,Short name:es,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1700
${var.concept.national.session-name.uuid},,,Session Name,Nombre de sesión,Name,Nombre,Session Name,Misc,Text,,,,,,,,,,,
${var.concept.national.session-date.uuid},,,Session Date,Fecha de la sesión,Date,Fecha,Session Date,Misc,Date,,,,,,,,,,,
${var.concept.national.practitioner.uuid},,,Practitioner,Facultativo,Practitioner,Facultativo,Practitioner,Misc,Text,,,,,,,,,,,
${var.concept.national.session-notes.uuid},,,Session Notes,Notas de la sesión,Notes,Notas,Session Notes,Misc,Text,,,,,,,,,,,
