Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
${var.drug.pharmacy.item-f59f2ffe.uuid},,Gamma Benzene Hexachloride & Cetrimide,${var.concept.national.item-f59f2ffe.uuid},,,
${var.drug.pharmacy.item-18e51e1e.uuid},,Gamma-Hexachlorocyclohexane,${var.concept.national.item-18e51e1e.uuid},,,
${var.drug.pharmacy.item-da550975.uuid},,Glipizide Er,${var.concept.national.item-da550975.uuid},,,
${var.drug.pharmacy.item-1d47e474.uuid},,Glucosamine & Chondroitin,${var.concept.national.item-1d47e474.uuid},,,
${var.drug.pharmacy.item-a90d51dd.uuid},,Glycerin,${var.concept.national.item-a90d51dd.uuid},,,
${var.drug.pharmacy.item-6b90f8e8.uuid},,Glycerine & Sodium Chloride Enema,${var.concept.national.item-6b90f8e8.uuid},,,
${var.drug.pharmacy.item-c9c0c627.uuid},,Griseofulvine,${var.concept.national.item-c9c0c627.uuid},,,
${var.drug.pharmacy.ciel-77335.uuid},,Haloperidol,${var.concept.ciel.77335.uuid},,,
${var.drug.pharmacy.item-b88ca045.uuid},,Heatwrap,${var.concept.national.item-b88ca045.uuid},,,
${var.drug.pharmacy.ciel-77413.uuid},,Heparin,${var.concept.ciel.77413.uuid},,,
${var.drug.pharmacy.item-b07006a3.uuid},,Hialorunate de Na+,${var.concept.national.item-b07006a3.uuid},,,
${var.drug.pharmacy.item-bd8f1042.uuid},,Hialorunate de Na+ et oxymetazoline,${var.concept.national.item-bd8f1042.uuid},,,
${var.drug.pharmacy.item-3332a02d.uuid},,Hydrocortisone & Acetic Acid,${var.concept.national.item-3332a02d.uuid},,,
${var.drug.pharmacy.item-3673e2b5.uuid},,Hydrocortisone hemorrhoidal,${var.concept.national.item-3673e2b5.uuid},,,
${var.drug.pharmacy.ciel-431.uuid},,Hyoscine Butylbromide,${var.concept.ciel.431.uuid},,,
${var.drug.pharmacy.ciel-77897.uuid},,Ibuprofen,${var.concept.ciel.77897.uuid},,,
${var.drug.pharmacy.item-46a9fa37.uuid},,Ibuprofen & Paracetamol,${var.concept.national.item-46a9fa37.uuid},,,
${var.drug.pharmacy.item-6e1f9544.uuid},,Insulin (Fast & Long Acting),${var.concept.national.item-6e1f9544.uuid},,,
${var.drug.pharmacy.item-468716a5.uuid},,Insulin NPH,${var.concept.national.item-468716a5.uuid},,,
${var.drug.pharmacy.item-ddc56548.uuid},,Insulin regular,${var.concept.national.item-ddc56548.uuid},,,
${var.drug.pharmacy.item-36b65481.uuid},,Ipratropium bromide & albuterol,${var.concept.national.item-36b65481.uuid},,,
${var.drug.pharmacy.ciel-78342.uuid},,Ivermectin,${var.concept.ciel.78342.uuid},,,
${var.drug.pharmacy.item-0d4c670b.uuid},,Johnson & Johnson Covid 19 Vaccine,${var.concept.national.item-0d4c670b.uuid},,,
${var.drug.pharmacy.ciel-78632.uuid},,Lactulose,${var.concept.ciel.78632.uuid},,,
${var.drug.pharmacy.item-dd2af8e4.uuid},,Lamivudine & Tenofovir,${var.concept.national.item-dd2af8e4.uuid},,,
${var.drug.pharmacy.item-55f59f64.uuid},,Lamivudine (3TC),${var.concept.national.item-55f59f64.uuid},,,
${var.drug.pharmacy.item-9ee39084.uuid},,Levonorgestrel & Ethinylestradiol,${var.concept.national.item-9ee39084.uuid},,,
${var.drug.pharmacy.item-b2727136.uuid},,"Levonorgestrel, Ethinylestradiol",${var.concept.national.item-b2727136.uuid},,,
${var.drug.pharmacy.item-e61d0a67.uuid},,Levothyroxine,${var.concept.national.item-e61d0a67.uuid},,,
${var.drug.pharmacy.ciel-78849.uuid},,Lidocaine,${var.concept.ciel.78849.uuid},,,
${var.drug.pharmacy.item-5c07fc3a.uuid},,Lidocaine & Epinephrine,${var.concept.national.item-5c07fc3a.uuid},,,
${var.drug.pharmacy.item-4c7472fd.uuid},,Lidocaine w & epinephrine dental,${var.concept.national.item-4c7472fd.uuid},,,
${var.drug.pharmacy.item-7eb9a61f.uuid},,Lignocaine,${var.concept.national.item-7eb9a61f.uuid},,,
${var.drug.pharmacy.item-c38432d2.uuid},,Lignocaine & Adrenaline,${var.concept.national.item-c38432d2.uuid},,,
${var.drug.pharmacy.item-63405d09.uuid},,Lopinavir & Ritonavir (LPV/r),${var.concept.national.item-63405d09.uuid},,,
${var.drug.pharmacy.item-7a849926.uuid},,Measles Rubella Vaccine (MR),${var.concept.national.item-7a849926.uuid},,,
${var.drug.pharmacy.item-6533b40f.uuid},,Medroxyprojesterone acetate,${var.concept.national.item-6533b40f.uuid},,,
${var.drug.pharmacy.item-c929e588.uuid},,Metronidazole & Diloxanide,${var.concept.national.item-c929e588.uuid},,,
${var.drug.pharmacy.item-f9608d19.uuid},,Metronidazole and Nystatin,${var.concept.national.item-f9608d19.uuid},,,
${var.drug.pharmacy.item-75fd74ef.uuid},,"Metronidazole, Chlorhexidine, Lignocaine & Menthol",${var.concept.national.item-75fd74ef.uuid},,,
${var.drug.pharmacy.ciel-79853.uuid},,Midazolam,${var.concept.ciel.79853.uuid},,,
${var.drug.pharmacy.item-62000346.uuid},,Mifepristone & Misoprostol,${var.concept.national.item-62000346.uuid},,,
${var.drug.pharmacy.item-73bbac06.uuid},,Mineral oil,${var.concept.national.item-73bbac06.uuid},,,
${var.drug.pharmacy.item-b5a7051e.uuid},,Moderna Covid 19 Vaccine,${var.concept.national.item-b5a7051e.uuid},,,
${var.drug.pharmacy.item-9cf2bb23.uuid},,MTV & Fer gttes (pr neonato),${var.concept.national.item-9cf2bb23.uuid},,,
${var.drug.pharmacy.item-e770a760.uuid},,Multi-Vitamin Adult,${var.concept.national.item-e770a760.uuid},,,
${var.drug.pharmacy.item-8a52cbaf.uuid},,Multi-Vitamin Children,${var.concept.national.item-8a52cbaf.uuid},,,
${var.drug.pharmacy.item-564a7a84.uuid},,Multi-Vitamin Prenatal,${var.concept.national.item-564a7a84.uuid},,,
${var.drug.pharmacy.item-bcf73538.uuid},,Multivitamin & Iron,${var.concept.national.item-bcf73538.uuid},,,
